case_id,node_type,node_id,relation,related_node,pattern,fraud_probability
HHG-008,ACTION,HHG-008_ACTION_3,RECOMMENDS,FILE_REPORT,card_not_present_new_device,0.63
HHG-009,CASE,HHG-009,INVOLVES_CUSTOMER,C08299,none,0.43
HHG-009,CUSTOMER,C08299,HAS_TRANSACTION,3581141,none,0.43
HHG-009,EVIDENCE,HHG-009_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,none,0.43
HHG-009,EVIDENCE,HHG-009_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,none,0.43
HHG-009,DEVICE_EVIDENCE,HHG-009_DEVICE_3,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C02809,"account_takeover, card_not_present_fraud, card_not_present_new_device, out_of_region_use",0.43
HHG-009,DEVICE_EVIDENCE,HHG-009_DEVICE_4,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C08943,"account_takeover, card_not_present_new_device, out_of_region_use",0.43
HHG-009,DEVICE_EVIDENCE,HHG-009_DEVICE_5,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C04196,"card_not_present_fraud, card_not_present_new_device, out_of_region_use",0.43
HHG-009,ACTION,HHG-009_ACTION_1,RECOMMENDS,VERIFY_WITH_CUSTOMER,none,0.43
HHG-009,ACTION,HHG-009_ACTION_2,RECOMMENDS,CREATE_CASE,none,0.43
HHG-010,CASE,HHG-010,INVOLVES_CUSTOMER,C10434,account_takeover,0.99
HHG-010,CUSTOMER,C10434,HAS_TRANSACTION,3506725,account_takeover,0.99
HHG-010,EVIDENCE,HHG-010_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,account_takeover,0.99
HHG-010,EVIDENCE,HHG-010_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,account_takeover,0.99
HHG-010,DEVICE_EVIDENCE,HHG-010_DEVICE_3,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C12900,account_takeover,0.99
HHG-010,DEVICE_EVIDENCE,HHG-010_DEVICE_4,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C11381,"account_takeover, out_of_region_use",0.99
HHG-010,DEVICE_EVIDENCE,HHG-010_DEVICE_5,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C07612,"account_takeover, card_not_present_fraud, card_not_present_new_device",0.99
HHG-010,ACTION,HHG-010_ACTION_1,RECOMMENDS,BLOCK_CARD,account_takeover,0.99
HHG-010,ACTION,HHG-010_ACTION_2,RECOMMENDS,CREATE_CASE,account_takeover,0.99
HHG-010,ACTION,HHG-010_ACTION_3,RECOMMENDS,FILE_REPORT,account_takeover,0.99
HHG-011,CASE,HHG-011,INVOLVES_CUSTOMER,C11923,card_not_present_new_device,0.54
HHG-011,CUSTOMER,C11923,HAS_TRANSACTION,3583368,card_not_present_new_device,0.54
HHG-011,EVIDENCE,HHG-011_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,card_not_present_new_device,0.54
HHG-011,EVIDENCE,HHG-011_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,card_not_present_new_device,0.54
HHG-011,DEVICE_EVIDENCE,HHG-011_DEVICE_3,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C05678,"card_not_present_fraud, card_not_present_new_device",0.54
HHG-011,DEVICE_EVIDENCE,HHG-011_DEVICE_4,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C05595,card_not_present_fraud,0.54
HHG-011,ACTION,HHG-011_ACTION_1,RECOMMENDS,VERIFY_WITH_CUSTOMER,card_not_present_new_device,0.54
HHG-011,ACTION,HHG-011_ACTION_2,RECOMMENDS,CREATE_CASE,card_not_present_new_device,0.54
HHG-011,ACTION,HHG-011_ACTION_3,RECOMMENDS,FILE_REPORT,card_not_present_new_device,0.54
HHG-012,CASE,HHG-012,INVOLVES_CUSTOMER,C05876,none,0.55
HHG-012,CUSTOMER,C05876,HAS_TRANSACTION,3553342,none,0.55
HHG-012,EVIDENCE,HHG-012_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,none,0.55
HHG-012,EVIDENCE,HHG-012_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,none,0.55
HHG-012,ACTION,HHG-012_ACTION_1,RECOMMENDS,VERIFY_WITH_CUSTOMER,none,0.55
HHG-012,ACTION,HHG-012_ACTION_2,RECOMMENDS,CREATE_CASE,none,0.55
HHG-013,CASE,HHG-013,INVOLVES_CUSTOMER,C07671,card_not_present_new_device,0.99
HHG-013,CUSTOMER,C07671,HAS_TRANSACTION,3526826,card_not_present_new_device,0.99
HHG-013,EVIDENCE,HHG-013_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,card_not_present_new_device,0.99
HHG-013,EVIDENCE,HHG-013_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,card_not_present_new_device,0.99
HHG-013,DEVICE_EVIDENCE,HHG-013_DEVICE_3,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C05690,"card_not_present_fraud, card_not_present_new_device",0.99
HHG-013,DEVICE_EVIDENCE,HHG-013_DEVICE_4,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C00405,card_not_present_fraud,0.99
HHG-013,DEVICE_EVIDENCE,HHG-013_DEVICE_5,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C03095,"card_not_present_fraud, card_not_present_new_device",0.99
HHG-013,ACTION,HHG-013_ACTION_1,RECOMMENDS,BLOCK_CARD,card_not_present_new_device,0.99
HHG-013,ACTION,HHG-013_ACTION_2,RECOMMENDS,CREATE_CASE,card_not_present_new_device,0.99
HHG-013,ACTION,HHG-013_ACTION_3,RECOMMENDS,FILE_REPORT,card_not_present_new_device,0.99
HHG-014,CASE,HHG-014,INVOLVES_CUSTOMER,C13487,none,0.18
HHG-014,CUSTOMER,C13487,HAS_TRANSACTION,3478561,none,0.18
HHG-014,EVIDENCE,HHG-014_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,none,0.18
HHG-014,EVIDENCE,HHG-014_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,none,0.18
HHG-014,DEVICE_EVIDENCE,HHG-014_DEVICE_3,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C02910,account_takeover,0.18
HHG-014,DEVICE_EVIDENCE,HHG-014_DEVICE_4,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C01996,"card_not_present_new_device, out_of_region_use",0.18
HHG-014,DEVICE_EVIDENCE,HHG-014_DEVICE_5,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C06031,out_of_region_use,0.18
HHG-014,ACTION,HHG-014_ACTION_1,RECOMMENDS,MONITOR_CARD,none,0.18
HHG-015,CASE,HHG-015,INVOLVES_CUSTOMER,C03042,card_not_present_new_device,0.92
HHG-015,CUSTOMER,C03042,HAS_TRANSACTION,3464869,card_not_present_new_device,0.92
HHG-015,EVIDENCE,HHG-015_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,card_not_present_new_device,0.92
HHG-015,EVIDENCE,HHG-015_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,card_not_present_new_device,0.92
HHG-015,DEVICE_EVIDENCE,HHG-015_DEVICE_3,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C11413,"card_not_present_fraud, card_not_present_new_device, out_of_region_use",0.92
HHG-015,DEVICE_EVIDENCE,HHG-015_DEVICE_4,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C05292,"card_not_present_fraud, card_not_present_new_device",0.92
HHG-015,ACTION,HHG-015_ACTION_1,RECOMMENDS,BLOCK_CARD,card_not_present_new_device,0.92
HHG-015,ACTION,HHG-015_ACTION_2,RECOMMENDS,CREATE_CASE,card_not_present_new_device,0.92
HHG-015,ACTION,HHG-015_ACTION_3,RECOMMENDS,FILE_REPORT,card_not_present_new_device,0.92
HHG-016,CASE,HHG-016,INVOLVES_CUSTOMER,C09988,card_not_present_new_device,0.62
HHG-016,CUSTOMER,C09988,HAS_TRANSACTION,3534820,card_not_present_new_device,0.62
HHG-016,EVIDENCE,HHG-016_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,card_not_present_new_device,0.62
HHG-016,EVIDENCE,HHG-016_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,card_not_present_new_device,0.62
HHG-016,DEVICE_EVIDENCE,HHG-016_DEVICE_3,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C03095,"card_not_present_fraud, card_not_present_new_device",0.62
HHG-016,DEVICE_EVIDENCE,HHG-016_DEVICE_4,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C05423,"card_not_present_fraud, card_not_present_new_device",0.62
HHG-016,DEVICE_EVIDENCE,HHG-016_DEVICE_5,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C10010,"account_takeover, out_of_region_use",0.62
HHG-016,ACTION,HHG-016_ACTION_1,RECOMMENDS,VERIFY_WITH_CUSTOMER,card_not_present_new_device,0.62
HHG-016,ACTION,HHG-016_ACTION_2,RECOMMENDS,CREATE_CASE,card_not_present_new_device,0.62
HHG-016,ACTION,HHG-016_ACTION_3,RECOMMENDS,FILE_REPORT,card_not_present_new_device,0.62
HHG-017,CASE,HHG-017,INVOLVES_CUSTOMER,C04570,none,0.72
HHG-017,CUSTOMER,C04570,HAS_TRANSACTION,3450629,none,0.72
HHG-017,EVIDENCE,HHG-017_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,none,0.72
HHG-017,EVIDENCE,HHG-017_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,none,0.72
HHG-017,DEVICE_EVIDENCE,HHG-017_DEVICE_3,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C06220,"card_not_present_fraud, out_of_region_use",0.72
HHG-017,DEVICE_EVIDENCE,HHG-017_DEVICE_4,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C01154,"account_takeover, card_not_present_fraud, card_not_present_new_device, out_of_region_use",0.72
HHG-017,DEVICE_EVIDENCE,HHG-017_DEVICE_5,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C13328,"card_not_present_fraud, card_not_present_new_device",0.72
HHG-017,ACTION,HHG-017_ACTION_1,RECOMMENDS,VERIFY_WITH_CUSTOMER,none,0.72
HHG-017,ACTION,HHG-017_ACTION_2,RECOMMENDS,STEP_UP_AUTH,none,0.72
HHG-017,ACTION,HHG-017_ACTION_3,RECOMMENDS,CREATE_CASE,none,0.72
HHG-018,CASE,HHG-018,INVOLVES_CUSTOMER,C02354,none,0.48
HHG-018,CUSTOMER,C02354,HAS_TRANSACTION,3491361,none,0.48
HHG-018,EVIDENCE,HHG-018_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,none,0.48
HHG-018,EVIDENCE,HHG-018_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,none,0.48
HHG-018,ACTION,HHG-018_ACTION_1,RECOMMENDS,VERIFY_WITH_CUSTOMER,none,0.48
HHG-018,ACTION,HHG-018_ACTION_2,RECOMMENDS,CREATE_CASE,none,0.48
HHG-019,CASE,HHG-019,INVOLVES_CUSTOMER,C07987,account_takeover,0.99
HHG-019,CUSTOMER,C07987,HAS_TRANSACTION,3503878,account_takeover,0.99
HHG-019,EVIDENCE,HHG-019_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,account_takeover,0.99
HHG-019,EVIDENCE,HHG-019_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,account_takeover,0.99
HHG-019,DEVICE_EVIDENCE,HHG-019_DEVICE_3,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C01104,"account_takeover, card_not_present_new_device, out_of_region_use",0.99
HHG-019,DEVICE_EVIDENCE,HHG-019_DEVICE_4,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C01983,"card_not_present_fraud, card_not_present_new_device",0.99
HHG-019,ACTION,HHG-019_ACTION_1,RECOMMENDS,BLOCK_CARD,account_takeover,0.99
HHG-019,ACTION,HHG-019_ACTION_2,RECOMMENDS,CREATE_CASE,account_takeover,0.99
HHG-019,ACTION,HHG-019_ACTION_3,RECOMMENDS,FILE_REPORT,account_takeover,0.99
HHG-020,CASE,HHG-020,INVOLVES_CUSTOMER,C12265,none,0.67
HHG-020,CUSTOMER,C12265,HAS_TRANSACTION,3509359,none,0.67
HHG-020,EVIDENCE,HHG-020_EVIDENCE_1,SUPPORTS_CASE,benchmark_transactions,none,0.67
HHG-020,EVIDENCE,HHG-020_EVIDENCE_2,SUPPORTS_CASE,benchmark_customer_history,none,0.67
HHG-020,DEVICE_EVIDENCE,HHG-020_DEVICE_3,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C12094,"account_takeover, card_not_present_fraud, card_not_present_new_device, out_of_region_use",0.67
HHG-020,DEVICE_EVIDENCE,HHG-020_DEVICE_4,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C00094,"account_takeover, card_not_present_fraud, card_not_present_new_device, out_of_region_use",0.67
HHG-020,DEVICE_EVIDENCE,HHG-020_DEVICE_5,CANDIDATE_DEVICE_FINGERPRINT_MATCH,C01154,"account_takeover, card_not_present_fraud, card_not_present_new_device, out_of_region_use",0.67
HHG-020,ACTION,HHG-020_ACTION_1,RECOMMENDS,VERIFY_WITH_CUSTOMER,none,0.67
HHG-020,ACTION,HHG-020_ACTION_2,RECOMMENDS,CREATE_CASE,none,0.67
